timestamp,gaze_x,gaze_y,pupil_left,pupil_right,blink,focus_score
1764433278.8946273,0.05563149402277781,-0.08518786371728992,5.369,6.807,0,0.166
1764433278.957838,0.05428295490685362,-0.08576786823846658,5.356,6.793,0,0.166
1764433278.9739347,0.04817593404744576,-0.08671734966415981,5.145,6.783,0,0.166
1764433279.0059953,0.05640101944586012,-0.08160135425107799,5.183,6.723,0,0.166
1764433279.0390809,0.05368525906664748,-0.08316261464242126,5.225,6.734,0,0.166
1764433279.1031985,0.0506749194418914,-0.07889835405921863,5.072,6.607,0,0.166
1764433279.1249368,0.03717698906386936,-0.09481218117478649,5.615,6.653,0,0.166
1764433279.138833,0.03454661961743576,-0.09402004197386574,5.803,6.551,0,0.166
1764433279.1981263,0.03440990645947776,-0.09346554453322123,5.789,6.705,0,0.166
1764433279.2161255,0.03509883928353912,-0.085068738316112,5.529,6.724,0,0.166
1764433279.2461479,0.029331092260382077,-0.08975645015461167,5.836,6.766,0,0.175
1764433279.2956588,0.029622673673176607,-0.10411739389610694,6.409,6.794,0,0.233
1764433279.308961,0.03096314429849635,-0.11417005451515364,6.810,6.813,0,0.305
1764433279.3429556,0.0370151100998566,-0.12120691694848632,7.115,6.827,0,0.388
1764433279.37728,0.032349971009293564,-0.09762893277303132,6.399,6.878,0,0.476
1764433279.42513,0.021129828191353853,-0.08159782869869761,6.131,7.259,0,0.571
1764433279.456872,0.01810115641378959,-0.07905523898236883,5.942,7.181,0,0.651
1764433279.4758835,0.037522588145779134,-0.08626752104259883,5.811,6.973,0,0.707
1764433279.517747,0.03156884200507557,-0.08368271927527365,5.654,6.981,0,0.751
1764433279.5377872,0.027401219706583078,-0.08187335803814604,5.544,6.986,0,0.792
1764433279.5518718,0.016809312292631995,-0.06694573797848087,5.319,7.117,0,0.819
1764433279.6244423,0.00035347512658140054,-0.05071577152564819,5.302,7.717,0,0.845
1764433279.6494122,-0.011709089150523516,-0.03984886615491037,5.290,8.245,0,0.861
1764433279.6659358,0.010281898464198816,-0.052894206308437317,5.642,7.797,0,0.872
1764433279.7121484,0.032197328924939234,-0.05985203137242786,5.507,7.519,0,0.877
1764433279.7387125,0.04319030416050106,-0.06580946543896031,5.413,7.324,0,0.878
1764433279.7597926,0.046990459289162456,-0.0601064808797361,5.297,7.243,0,0.878
1764433279.807009,0.05463245193719639,-0.064900623572337,5.271,7.104,0,0.877
1764433279.8409839,0.05346010766038535,-0.06390869737020118,5.176,7.034,0,0.877
1764433279.871711,0.04843398012417456,-0.09220632625437897,5.803,6.995,0,0.877
